geo.coordinates
"[ 29.9486, -90.06632 ]"
"[ 30.27282644, -93.26851694 ]"
"[ 30.05225091, -89.9753013 ]"
"[ 30.00137075, -90.12508851 ]"
"[ 27.77877947, -93.30962228999999 ]"
"[ 29.79611311, -90.79393847999999 ]"
"[ 30.03330241, -90.04580392 ]"
"[ 14.6408438, -89.7293384 ]"
"[ 32.58724036, -93.81187897 ]"
"[ 32.53052573, -92.22045531000001 ]"

"[ 32.42887644, -92.20272860999999 ]"
"[ 29.98527151, -90.11267663 ]"
"[ 29.64872962, -91.09725666999999 ]"
"[ 15.55368, -88.03014 ]"
"[ 27.77878463, -93.30963088 ]"
"[ 32.42887644, -92.20272860999999 ]"
"[ 29.93644875, -90.12025943 ]"
"[ 16.20233095, -89.44686262 ]"
"[ 29.99390289, -90.17685992 ]"
"[ 32.42887644, -92.20272860999999 ]"
"[ 30.10823272, -92.01486303999999 ]"
"[ 15.4865996, -88.03272389 ]"
"[ 30.02499863, -90.04466592 ]"
"[ 30.02250353, -90.26797581 ]"
"[ 29.9824002, -90.04987130000001 ]"
"[ 30.54466928, -92.06402706 ]"
"[ 32.55895597, -92.0717451 ]"
"[ 17.53631656, -88.30837523 ]"
"[ 27.7787846, -93.30963048 ]"
"[ 29.85034573, -90.96748494000001 ]"
"[ 29.98342203, -90.07448558999999 ]"

"[ 32.56255185, -92.05695833 ]"
"[ 29.9510117, -90.08124948 ]"
"[ 30.02642082, -90.06765120999999 ]"
"[ 32.49276628, -92.40576237000001 ]"
"[ 15.49928237, -88.04179763 ]"
"[ 32.559148, -92.07189379 ]"
"[ 15.49165, -88.01335 ]"
"[ 30.0094241, -90.25065410000001 ]"
"[ 32.56221404, -92.05557978 ]"
"[ 32.42177999, -93.63201343 ]"
"[ 30.02635265, -90.06763113 ]"
"[ 29.899408, -90.08979524 ]"
"[ 32.46752867, -92.08844386 ]"
"[ 29.97227767, -90.07500243 ]"

"[ 14.77514463, -88.78126487 ]"
"[ 30.02747925, -90.05400879 ]"
"[ 32.55562004, -92.27041843000001 ]"
"[ 17.53632114, -88.30855615999999 ]"
"[ 29.98495881, -90.06729218 ]"
"[ 31.5068329, -92.49323674999999 ]"

"[ 29.6716579, -90.71459969999999 ]"
"[ 32.5669575, -92.00455807 ]"

"[ 32.56296099, -92.05659549000001 ]"
"[ 30.66701653, -92.27486352 ]"
"[ 30.66663155, -92.27495556 ]"

"[ 29.8504076, -90.96748681 ]"
"[ 29.97290987, -90.11046417 ]"
"[ 32.56227641, -92.05557774 ]"
"[ 15.49165, -88.01335 ]"
"[ 32.46752867, -92.08844386 ]"
"[ 29.37710515, -90.28493059 ]"
"[ 15.49917844, -88.04205491 ]"
"[ 15.47675736, -87.95661178 ]"

"[ 15.49928668, -88.04177601000001 ]"
"[ 32.7168724, -93.0036307 ]"

"[ 29.79603327, -90.79384686 ]"
"[ 32.46749917, -92.0883394 ]"
"[ 29.97664532, -90.11178655000001 ]"
"[ 30.03320634, -90.04632753999999 ]"
"[ 32.4457035, -92.0925678 ]"

"[ 29.8711169, -90.04805779 ]"
"[ 32.46749917, -92.0883394 ]"
"[ 29.95472135, -90.07044535 ]"


"[ 15.49166, -88.01335 ]"
"[ 32.46749917, -92.0883394 ]"
"[ 32.56220339, -92.05561054 ]"
"[ 29.93671256, -90.12025025 ]"
"[ 17.53624767, -88.30835526 ]"
"[ 29.93298385, -90.11169682000001 ]"
"[ 29.77531623, -90.77905163 ]"
"[ 29.77531623, -90.77905163 ]"
"[ 31.46648676, -92.49154905 ]"
"[ 29.89947736, -90.08986289000001 ]"
"[ 31.44424326, -91.71606903 ]"
"[ 14.6408428, -89.7293385 ]"
"[ 29.6716041, -90.71450609999999 ]"
"[ 29.88239703, -90.04505162 ]"
"[ 32.57024646, -93.20172071 ]"
"[ 30.00644088, -90.02386092 ]"
